"step","time","S","I","R"
592,592,17439,0,82571
593,593,17439,0,82571
594,594,17439,0,82571
595,595,17439,0,82571
596,596,17439,0,82571
597,597,17439,0,82571
598,598,17439,0,82571
599,599,17439,0,82571
600,600,17439,0,82571
601,601,17439,0,82571
602,602,17439,0,82571
603,603,17439,0,82571
604,604,17439,0,82571
605,605,17439,0,82571
606,606,17439,0,82571
607,607,17439,0,82571
608,608,17439,0,82571
609,609,17439,0,82571
610,610,17439,0,82571
611,611,17439,0,82571
612,612,17439,0,82571
613,613,17439,0,82571
614,614,17439,0,82571
615,615,17439,0,82571
616,616,17439,0,82571
617,617,17439,0,82571
618,618,17439,0,82571
619,619,17439,0,82571
620,620,17439,0,82571
621,621,17439,0,82571
622,622,17439,0,82571
623,623,17439,0,82571
624,624,17439,0,82571
625,625,17439,0,82571
626,626,17439,0,82571
627,627,17439,0,82571
628,628,17439,0,82571
629,629,17439,0,82571
630,630,17439,0,82571
631,631,17439,0,82571
632,632,17439,0,82571
633,633,17439,0,82571
634,634,17439,0,82571
635,635,17439,0,82571
636,636,17439,0,82571
637,637,17439,0,82571
638,638,17439,0,82571
639,639,17439,0,82571
640,640,17439,0,82571
641,641,17439,0,82571
642,642,17439,0,82571
643,643,17439,0,82571
644,644,17439,0,82571
645,645,17439,0,82571
646,646,17439,0,82571
647,647,17439,0,82571
648,648,17439,0,82571
649,649,17439,0,82571
650,650,17439,0,82571
651,651,17439,0,82571
652,652,17439,0,82571
653,653,17439,0,82571
654,654,17439,0,82571
655,655,17439,0,82571
656,656,17439,0,82571
657,657,17439,0,82571
658,658,17439,0,82571
659,659,17439,0,82571
660,660,17439,0,82571
661,661,17439,0,82571
662,662,17439,0,82571
663,663,17439,0,82571
664,664,17439,0,82571
665,665,17439,0,82571
666,666,17439,0,82571
667,667,17439,0,82571
668,668,17439,0,82571
669,669,17439,0,82571
670,670,17439,0,82571
671,671,17439,0,82571
672,672,17439,0,82571
673,673,17439,0,82571
674,674,17439,0,82571
675,675,17439,0,82571
676,676,17439,0,82571
677,677,17439,0,82571
678,678,17439,0,82571
679,679,17439,0,82571
680,680,17439,0,82571
681,681,17439,0,82571
682,682,17439,0,82571
683,683,17439,0,82571
